	"species"	"abbreviation"
10885	"Haloferax mediterranei"	"hmediterranei"
10886	"Halothiobacillus neapolitanus"	"hneapolitanus"
10887	"Halothiobacillus neapolitanus"	"hneapolitanus"
10888	"Haliangium ochraceum"	"hochraceum"
10889	"Haliclona oculata"	"hoculata"
10890	"Halothermothrix orenii"	"horenii"
10891	"Halichondria okadai"	"hokadai"
10892	"Halothece sp."	"hsp."
10893	"Halichondria panicea"	"hpanicea"
10894	"Haliaeetus pelagicus"	"hpelagicus"
10895	"Halanaerobium praevalens"	"hpraevalens"
10896	"Halomitra pileus"	"hpileus"
10897	"Halcyon pileata"	"hpileata"
10898	"Halocynthia papillosa"	"hpapillosa"
10899	"Halanaerobium praevalens"	"hpraevalens"
10900	"Haloferax prahovense"	"hprahovense"
10901	"Haliotis roei"	"hroei"
10902	"Halictus rubicundus"	"hrubicundus"
10903	"Halocynthia roretzi"	"hroretzi"
10904	"Halocaridina rubra"	"hrubra"
10905	"Haliotis rufescens"	"hrufescens"
10906	"Halovivax ruber"	"hruber"
10907	"Halobacterium sp."	"hsp."
10908	"Halobacterium salinarum"	"hsalinarum"
10909	"Haloterrigena sp."	"hsp."
10910	"Haloarchaeon S8a"	"hS8a"
10911	"Halobacterium salinarum"	"hsalinarum"
10912	"Haloferax sp."	"hsp."
10913	"Haloarcula sp."	"hsp."
10914	"Halorubrum sodomense"	"hsodomense"
10915	"Halochromatium salexigens"	"hsalexigens"
10916	"Halocynthia spinosa"	"hspinosa"
10917	"Haloredivivus sp."	"hsp."
10918	"Halobacterium salinarum"	"hsalinarum"
10919	"Halobacterium sp."	"hsp."
10920	"Haliotis sorenseni"	"hsorenseni"
10921	"Halobacterium sp."	"hsp."
10922	"Haloarcula sp."	"hsp."
10923	"Halobacterium sp."	"hsp."
10924	"Halomonas sp."	"hsp."
10925	"Halysidota tessellaris"	"htessellaris"
10926	"Halichoeres trimaculatus"	"htrimaculatus"
10927	"Haliotis tuberculata"	"htuberculata"
10928	"Haloterrigena turkmenica"	"hturkmenica"
10929	"Halorhabdus utahensis"	"hutahensis"
10930	"Haloarcula vallismortis"	"hvallismortis"
10931	"Haliaeetus vocifer"	"hvocifer"
10932	"Haloferax volcanii"	"hvolcanii"
10933	"Haloferax volcanii"	"hvolcanii"
10934	"Haliotis varia"	"hvaria"
10935	"Halorubrum vacuolatum"	"hvacuolatum"
10936	"Haliotis walallensis"	"hwalallensis"
10937	"Haloquadratum walsbyi"	"hwalsbyi"
10938	"Haloquadratum walsbyi"	"hwalsbyi"
10939	"Halopiger xanaduensis"	"hxanaduensis"
10940	"Halomonas zhaodongensis"	"hzhaodongensis"
10941	"Hampea appendiculata"	"happendiculata"
10942	"Hamiltonella defensa subsp. Acyrthosiphon pisum"	"hdefensa"
10943	"Hamadryas epinome"	"hepinome"
10944	"Hammondia hammondi"	"hhammondi"
10945	"Hammondia heydorni"	"hheydorni"
10946	"Hamamelis japonica"	"hjaponica"
10947	"Hamamelis mollis"	"hmollis"
10948	"Hamamelis virginiana"	"hvirginiana"
10949	"Hantaan virus"	"hvirus"
10950	"Hantaan virus"	"hvirus"
10951	"Hantaan virus"	"hvirus"
10952	"Hantaan virus"	"hvirus"
10953	"Hannoa undulata"	"hundulata"
10954	"Hanseniaspora uvarum"	"huvarum"
10955	"Handelsmanbacteria sp."	"hsp."
10956	"Hapalemur aureus"	"haureus"
10957	"Haploperla brevis"	"hbrevis"
10958	"Haplochromis burtoni"	"hburtoni"
10959	"Hapalogaster dentata"	"hdentata"
10960	"Haplonycteris fischeri"	"hfischeri"
10961	"Hapalemur griseus"	"hgriseus"
10962	"Haptolina hirta"	"hhirta"
10963	"Haplomitrium hookeri"	"hhookeri"
10964	"Haploa lecontei"	"hlecontei"
10965	"Hapalochlaena maculosa"	"hmaculosa"
10966	"Hapalogaster mertensii"	"hmertensii"
10967	"Haplophryne mollis"	"hmollis"
10968	"Haplochromis nubilus"	"hnubilus"
10969	"Haploniscus rostratus"	"hrostratus"
10970	"Haplodrassus signifer"	"hsignifer"
10971	"Halorubrum pleomorphic virus 1"	"hpleomorphic"
10972	"Haplochromis xenognathus"	"hxenognathus"
10973	"Harpalus affinis"	"haffinis"
10974	"Harpagifer antarcticus"	"hantarcticus"
10975	"Harpactes ardens"	"hardens"
10976	"Harmonia axyridis"	"haxyridis"
10977	"Hartmannella cantabrigiensis"	"hcantabrigiensis"
10978	"Harpactes diardii"	"hdiardii"
10979	"Harpactes erythrocephalus"	"herythrocephalus"
10980	"Harpiocephalus harpia"	"hharpia"
10981	"Harpalus herbivagus"	"hherbivagus"
10982	"Harmothoe imbricata"	"himbricata"
10983	"Harengula jaguana"	"hjaguana"
10984	"Harpadon microchir"	"hmicrochir"
10985	"Harpiocephalus mordax"	"hmordax"
10986	"Heterosigma akashiwo RNA virus"	"hakashiwo"
10987	"Harpadon nehereus"	"hnehereus"
10988	"Harmonia quadripunctata"	"hquadripunctata"
10989	"Harriotta raleighana"	"hraleighana"
10990	"Harpalus rufipes"	"hrufipes"
10991	"Harpegnathos saltator"	"hsaltator"
10992	"Havel river virus"	"hriver"
10993	"Harpyionycteris whiteheadi"	"hwhiteheadi"
10994	"Hasora anura"	"hanura"
10995	"Hasora chromus"	"hchromus"
10996	"Hastula hectica"	"hhectica"
10997	"Hasemania nana"	"hnana"
10998	"Haslea ostrearia"	"hostrearia"
10999	"Helicoverpa armigera stunt virus"	"harmigera"
11000	"Human astrovirus-1"	"hastrovirus-1"
11001	"Human astrovirus-2"	"hastrovirus-2"
11002	"Human astrovirus-3"	"hastrovirus-3"
11003	"Human astrovirus-4"	"hastrovirus-4"
11004	"Human astrovirus-5"	"hastrovirus-5"
11005	"Human astrovirus-6"	"hastrovirus-6"
11006	"Human astrovirus-7"	"hastrovirus-7"
11007	"Human astrovirus-8"	"hastrovirus-8"
11008	"Hasora vitta"	"hvitta"
11009	"Hatena arenicola"	"harenicola"
11010	"Hathewaya histolytica"	"hhistolytica"
11011	"Hathewaya limosa"	"hlimosa"
11012	"Haustrum vinosum"	"hvinosum"
11013	"Heterosigma akashiwo virus 01"	"hakashiwo"
11014	"Heterosigma akashiwo virus 01"	"hakashiwo"
11015	"Human hepatitis A virus genotype IIB"	"hhepatitis"
11016	"Human hepatitis A virus genotype IIA"	"hhepatitis"
11017	"Human hepatitis A virus genotype IA"	"hhepatitis"
11018	"Human hepatitis A virus genotype IIIA"	"hhepatitis"
11019	"Human hepatitis A virus genotype IA"	"hhepatitis"
11020	"Human hepatitis A virus genotype IA"	"hhepatitis"
11021	"Human hepatitis A virus genotype IA"	"hhepatitis"
11022	"Human hepatitis A virus genotype IB"	"hhepatitis"
11023	"Human hepatitis A virus genotype IIIB"	"hhepatitis"
11024	"Human hepatitis A virus genotype IA"	"hhepatitis"
11025	"Human hepatitis A virus genotype IA"	"hhepatitis"
11026	"Human hepatitis A virus genotype IB"	"hhepatitis"
11027	"Human hepatitis A virus genotype IIIA"	"hhepatitis"
11028	"Simian hepatitis A virus genotype V"	"shepatitis"
11029	"Simian hepatitis A virus genotype IV"	"shepatitis"
11030	"Simian hepatitis A virus genotype VI"	"shepatitis"
11031	"Hazenia basiliensis"	"hbasiliensis"
11032	"Hazara virus"	"hvirus"
11033	"Primate bocaparvovirus 1"	"pbocaparvovirus"
11034	"Human bocavirus 2"	"hbocavirus"
11035	"Human bocavirus 3"	"hbocavirus"
11036	"Human bocavirus 4"	"hbocavirus"
11037	"Hepatitis B virus"	"hB"
11038	"Hepatitis B virus genotype A1 subtype adw2"	"hB"
11039	"Hepatitis B virus genotype A2 subtype adw"	"hB"
11040	"Hepatitis B virus genotype A2 subtype adw2"	"hB"
11041	"Hepatitis B virus genotype A2 subtype adw2"	"hB"
11042	"Hepatitis B virus genotype A1 subtype adw"	"hB"
11043	"Hepatitis B virus genotype A1 subtype adw2"	"hB"
11044	"Hepatitis B virus genotype A2"	"hB"
11045	"Hepatitis B virus genotype A3"	"hB"
11046	"Hepatitis B virus genotype A3"	"hB"
11047	"Hepatitis B virus subtype adw"	"hB"
11048	"Hepatitis B virus genotype B1 subtype adw"	"hB"
11049	"Hepatitis B virus genotype B2"	"hB"
11050	"Hepatitis B virus genotype B2"	"hB"
11051	"Hepatitis B virus genotype B/C subtype adw"	"hB"
11052	"Hepatitis B virus genotype B2"	"hB"
11053	"Hepatitis B virus genotype B2 subtype adw"	"hB"
11054	"Hepatitis B virus genotype B1"	"hB"
11055	"Hepatitis B virus genotype B1"	"hB"
11056	"Hepatitis B virus genotype C"	"hB"
11057	"Hepatitis B virus genotype C subtype adr"	"hB"
11058	"Hepatitis B virus genotype C subtype ar"	"hB"
11059	"Hepatitis B virus genotype C subtype adr"	"hB"
11060	"Hepatitis B virus genotype C subtype adr"	"hB"
11061	"Hepatitis B virus genotype C subtype ad"	"hB"
11062	"Hepatitis B virus genotype C subtype adr"	"hB"
11063	"Hepatitis B virus genotype C subtype ayw"	"hB"
11064	"Hepatitis B virus genotype C subtype adr"	"hB"
11065	"Hepatitis B virus genotype C subtype ayw"	"hB"
11066	"Hepatitis B virus genotype C subtype ayr"	"hB"
11067	"Chimpanzee hepatitis B virus"	"chepatitis"
11068	"Hepatitis B virus genotype C subtype ayr"	"hB"
11069	"Hepatitis B virus genotype D subtype adw"	"hB"
11070	"Hepatitis B virus genotype D"	"hB"
11071	"Hepatitis B virus genotype D subtype ayw"	"hB"
11072	"Hepatitis B virus genotype D subtype ayw"	"hB"
11073	"Hepatitis B virus genotype D subtype ayw"	"hB"
11074	"Hepatitis B virus genotype D subtype ayw"	"hB"
11075	"Hepatitis B virus genotype D"	"hB"
11076	"Hepatitis B virus subtype adr"	"hB"
11077	"Hepatitis B virus genotype E subtype ayw4"	"hB"
11078	"Hepatitis B virus genotype E"	"hB"
11079	"Hepatitis B virus genotype E"	"hB"
11080	"Hepatitis B virus genotype E"	"hB"
11081	"Hepatitis B virus genotype F2"	"hB"
11082	"Hepatitis B virus genotype F1 subtype adw4"	"hB"
11083	"Hepatitis B virus genotype F1"	"hB"
11084	"Hepatitis B virus genotype F2"	"hB"
11085	"Hepatitis B virus genotype F2"	"hB"
11086	"Hepatitis B virus genotype F2 subtype adw4q"	"hB"
11087	"Hepatitis B virus genotype G subtype adw2"	"hB"
11088	"Hepatitis B virus genotype G"	"hB"
11089	"Hepatitis B virus genotype G"	"hB"
11090	"Gibbon hepatitis B virus subtype ayw3q"	"ghepatitis"
11091	"Gorilla hepatitis B virus"	"ghepatitis"
11092	"Hepatitis B virus genotype H"	"hB"
11093	"Hepatitis B virus genotype H subtype adw4"	"hB"
11094	"Hepatitis B virus genotype H subtype adw4"	"hB"
11095	"Orangutan hepatitis B virus"	"ohepatitis"
11096	"Human cytomegalovirus"	"hcytomegalovirus"
11097	"Human cytomegalovirus"	"hcytomegalovirus"
11098	"Human cytomegalovirus"	"hcytomegalovirus"
11099	"Human cytomegalovirus"	"hcytomegalovirus"
11100	"Human cytomegalovirus"	"hcytomegalovirus"
11101	"Human cytomegalovirus"	"hcytomegalovirus"
11102	"Human cytomegalovirus"	"hcytomegalovirus"
11103	"Human cytomegalovirus"	"hcytomegalovirus"
11104	"Human cytomegalovirus"	"hcytomegalovirus"
11105	"Human cytomegalovirus"	"hcytomegalovirus"
11106	"Human cytomegalovirus"	"hcytomegalovirus"
11107	"Human cytomegalovirus"	"hcytomegalovirus"
11108	"Human cytomegalovirus"	"hcytomegalovirus"
11109	"Human cytomegalovirus"	"hcytomegalovirus"
11110	"Human cytomegalovirus"	"hcytomegalovirus"
11111	"Heterocapsa circularisquama RNA virus 01"	"hcircularisquama"
11112	"Heterocapsa circularisquama DNA virus 01"	"hcircularisquama"
11113	"Hepatitis C virus genotype 1a"	"hC"
11114	"Hepatitis C virus genotype 6a"	"hC"
11115	"Hepatitis C virus genotype 2c"	"hC"
11116	"Hepatitis C virus genotype 1b"	"hC"
11117	"Hepatitis C virus genotype 1b"	"hC"
11118	"Hepatitis C virus"	"hC"
11119	"Hepatitis C virus"	"hC"
11120	"Hepatitis C virus genotype 4a"	"hC"
11121	"Hepatitis C virus genotype 6a"	"hC"
11122	"Hepatitis C virus genotype 5a"	"hC"
11123	"Hepatitis C virus"	"hC"
11124	"Hepatitis C virus genotype 1a"	"hC"
11125	"Hepatitis C virus"	"hC"
11126	"Hepatitis C virus"	"hC"
11127	"Hepatitis C virus"	"hC"
11128	"Hepatitis C virus genotype 1c"	"hC"
11129	"Hepatitis C virus"	"hC"
11130	"Hepatitis C virus genotype 1c"	"hC"
11131	"Hepatitis C virus genotype 1b"	"hC"
11132	"Hepatitis C virus"	"hC"
11133	"Hepatitis C virus genotype 1b"	"hC"
11134	"Hepatitis C virus"	"hC"
11135	"Hepatitis C virus genotype 2a"	"hC"
11136	"Hepatitis C virus"	"hC"
11137	"Hepatitis C virus genotype 2b"	"hC"
11138	"Hepatitis C virus genotype 1b"	"hC"
11139	"Hepatitis C virus genotype 2a"	"hC"
11140	"Hepatitis C virus genotype 3k"	"hC"
11141	"Hepatitis C virus genotype 6g"	"hC"
11142	"Hepatitis C virus genotype 2b"	"hC"
11143	"Hepatitis C virus genotype 1b"	"hC"
11144	"Hepatitis C virus genotype 3a"	"hC"
11145	"Hepatitis C virus genotype 1b"	"hC"
11146	"Hepatitis C virus genotype 1b"	"hC"
11147	"Hepatitis C virus genotype 1b"	"hC"
11148	"Hepatitis C virus genotype 1b"	"hC"
11149	"Hepatitis C virus genotype 1b"	"hC"
11150	"Hepatitis C virus genotype 1b"	"hC"
11151	"Hepatitis C virus genotype 2a"	"hC"
11152	"Hepatitis C virus genotype 2b"	"hC"
11153	"Hepatitis C virus genotype 3a"	"hC"
11154	"Hepatitis C virus genotype 1b"	"hC"
11155	"Hepatitis C virus genotype 1b"	"hC"
11156	"Hepatitis C virus genotype 1b"	"hC"
11157	"Hepatitis C virus genotype 1b"	"hC"
11158	"Hepatitis C virus genotype 1b"	"hC"
11159	"Hepatitis C virus genotype 5a"	"hC"
11160	"Hepatitis C virus genotype 6b"	"hC"
11161	"Hepatitis C virus"	"hC"
11162	"Hepatitis C virus genotype 3b"	"hC"
11163	"Hepatitis C virus genotype 1b"	"hC"
11164	"Hepatitis C virus genotype 2k"	"hC"
11165	"Hepatitis C virus genotype 6d"	"hC"
11166	"Hepatitis C virus genotype 6k"	"hC"
11167	"Hepatitis C virus genotype 6h"	"hC"
11168	"Human associated cyclovirus 1"	"hassociated"
11169	"Hepatitis delta virus"	"hdelta"
11170	"Hepatitis delta virus genotype II"	"hdelta"
11171	"Hepatitis delta virus genotype I"	"hdelta"
11172	"Hepatitis delta virus genotype I"	"hdelta"
11173	"Hepatitis delta virus genotype I"	"hdelta"
11174	"Hepatitis delta virus genotype I"	"hdelta"
11175	"Hepatitis delta virus genotype I"	"hdelta"
11176	"Hepatitis delta virus genotype I"	"hdelta"
11177	"Hepatitis delta virus genotype I"	"hdelta"
11178	"Hepatitis delta virus genotype III"	"hdelta"
11179	"Hepatitis delta virus genotype II"	"hdelta"
11180	"Hepatitis delta virus genotype I"	"hdelta"
11181	"Hepatitis delta virus genotype II"	"hdelta"
11182	"Hepatitis delta virus genotype I"	"hdelta"
11183	"Hepatitis delta virus genotype III"	"hdelta"
11184	"Hepatitis delta virus genotype III"	"hdelta"
11185	"Hepatitis delta virus genotype III"	"hdelta"
11186	"Hepatitis delta virus genotype I"	"hdelta"
11187	"Human enterovirus 70"	"henterovirus"
11188	"Human enterovirus 71"	"henterovirus"
11189	"Human enterovirus 71"	"henterovirus"
11190	"Hebeloma cylindrosporum"	"hcylindrosporum"
11191	"Hebomoia glaucippe"	"hglaucippe"
11192	"Hedera algeriensis"	"halgeriensis"
11193	"Hedwigia ciliata"	"hciliata"
11194	"Hedychium coronarium"	"hcoronarium"
11195	"Hediste diversicolor"	"hdiversicolor"
11196	"Hedychium flavescens"	"hflavescens"
11197	"Hedychium flavum"	"hflavum"
11198	"Hedychium gardnerianum"	"hgardnerianum"
11199	"Hedera helix"	"hhelix"
11200	"Hediste japonica"	"hjaponica"
11201	"Heimdallarchaeota archaeon"	"harchaeon"
11202	"Heimyscus fumosus"	"hfumosus"
11203	"Heisteria parvifolia"	"hparvifolia"
11204	"Helenium autumnale"	"hautumnale"
11205	"Heliotropium arborescens"	"harborescens"
11206	"Helicobacter acinonychis"	"hacinonychis"
11207	"Helicops angulatus"	"hangulatus"
11208	"Helicobacter acinonychis"	"hacinonychis"
11209	"Heliocheilus albipunctella"	"halbipunctella"
11210	"Helicoverpa armigera"	"harmigera"
11211	"Helianthus annuus"	"hannuus"
11212	"Heliophobius argenteocinereus"	"hargenteocinereus"
11213	"Heliofungia actiniformis"	"hactiniformis"
11214	"Helicoverpa assulta"	"hassulta"
11215	"Helicolenus avius"	"havius"
11216	"Heliothryx barroti"	"hbarroti"
11217	"Helicobacter bizzozeronii"	"hbizzozeronii"
11218	"Helenium bigelovii"	"hbigelovii"
11219	"Helicobacter bizzozeronii"	"hbizzozeronii"
11220	"Heligmosomoides polygyrus bakeri"	"hpolygyrus"
11221	"Helicopsyche borealis"	"hborealis"
11222	"Helonias bullata"	"hbullata"
11223	"Helicobacter cetorum"	"hcetorum"
11224	"Heliconius charithonia"	"hcharithonia"
11225	"Heliobacterium chlorum"	"hchlorum"
11226	"Helicobacter cetorum"	"hcetorum"
11227	"Helicobacter cinaedi"	"hcinaedi"
11228	"Heliocidaris crassispina"	"hcrassispina"
11229	"Heliconius cydno"	"hcydno"
11230	"Helicolenus dactylopterus"	"hdactylopterus"
11231	"Helianthus debilis"	"hdebilis"
11232	"Heliocheilus discalis"	"hdiscalis"
11233	"Helianthus divaricatus"	"hdivaricatus"
11234	"Heliconius erato"	"herato"
11235	"Heliconius eleuchia"	"heleuchia"
11236	"Heliocidaris erythrogramma"	"herythrogramma"
11237	"Helobdella europaea"	"heuropaea"
11238	"Helicobacter felis"	"hfelis"
11239	"Helicobacter felis"	"hfelis"
11240	"Helichrysum foetidum"	"hfoetidum"
11241	"Heliomaster furcifer"	"hfurcifer"
11242	"Heliobacterium gestii"	"hgestii"
11243	"Helicoverpa gelotopoeon"	"hgelotopoeon"
11244	"Hellenia globosa"	"hglobosa"
11245	"Helianthus grosseserratus"	"hgrosseserratus"
11246	"Heliothrips haemorrhoidalis"	"hhaemorrhoidalis"
11247	"Heliconius hecale"	"hhecale"
11248	"Helicobacter heilmannii"	"hheilmannii"
11249	"Helogale hirtula"	"hhirtula"
11250	"Helictochloa hookeri"	"hhookeri"
11251	"Helicolenus hilgendorfi"	"hhilgendorfi"
11252	"Heloderma horridum horridum"	"hhorridum"
11253	"Helicobacter hepaticus"	"hhepaticus"
11254	"Heloderma horridum"	"hhorridum"
11255	"Helicobacter hepaticus"	"hhepaticus"
11256	"Heliothis peltigera"	"hpeltigera"
11257	"Helichrysum petiolare"	"hpetiolare"
11258	"Helichrysum italicum"	"hitalicum"
11259	"Helix lucorum"	"hlucorum"
11260	"Helicobacter mustelae"	"hmustelae"
11261	"Helarctos malayanus"	"hmalayanus"
11262	"Heliconius melpomene"	"hmelpomene"
11263	"Heliobacterium modesticaldum"	"hmodesticaldum"
11264	"Heliobacillus mobilis"	"hmobilis"
11265	"Helicobacter mustelae"	"hmustelae"
11266	"Helianthus maximiliani"	"hmaximiliani"
11267	"Heliconius numata"	"hnumata"
11268	"Heliamphora nutans"	"hnutans"
11269	"Helicobacter pylori"	"hpylori"
11270	"Helicobacter pylori"	"hpylori"
11271	"Helicobacter pylori"	"hpylori"
11272	"Helicobacter pylori"	"hpylori"
11273	"Helicobacter pylori"	"hpylori"
11274	"Helicobacter pylori"	"hpylori"
11275	"Helicobacter pylori"	"hpylori"
11276	"Helicobacter pylori"	"hpylori"
11277	"Helogale parvula"	"hparvula"
11278	"Helicobacter pylori"	"hpylori"
11279	"Helicobacter pylori"	"hpylori"
11280	"Helophilus pendulus"	"hpendulus"
11281	"Helianthus petiolaris"	"hpetiolaris"
11282	"Helicobacter pylori"	"hpylori"
11283	"Helicobacter pylori"	"hpylori"
11284	"Helicobacter pylori"	"hpylori"
11285	"Helicobacter pylori"	"hpylori"
11286	"Helicobacter pylori"	"hpylori"
11287	"Helicobacter pylori"	"hpylori"
11288	"Helicobacter pylori"	"hpylori"
11289	"Helicobacter pylori"	"hpylori"
11290	"Helicoverpa punctigera"	"hpunctigera"
11291	"Helix pomatia"	"hpomatia"
11292	"Helicobacter pylori"	"hpylori"
11293	"Helicobacter pylori"	"hpylori"
11294	"Helicobacter pylori"	"hpylori"
11295	"Helicobacter pylori"	"hpylori"
11296	"Helicobacter pylori"	"hpylori"
11297	"Helleborus purpurascens"	"hpurpurascens"
11298	"Helicobacter pylori"	"hpylori"
11299	"Helicobacter pylori"	"hpylori"
11300	"Helicobacter pylori"	"hpylori"
11301	"Helicobacter pylori"	"hpylori"
11302	"Heligmosomoides polygyrus"	"hpolygyrus"
11303	"Heleophryne regis"	"hregis"
11304	"Helobdella robusta"	"hrobusta"
11305	"Heliconia rostrata"	"hrostrata"
11306	"Heliosciurus ruwenzorii"	"hruwenzorii"
11307	"Heliconius sara"	"hsara"
11308	"Heliothis subflexa"	"hsubflexa"
11309	"Heloderma suspectum cinctum"	"hsuspectum"
11310	"Helicosporidium sp. subsp. Simulium jonesii"	"hsp."
11311	"Heloderma suspectum suspectum"	"hsuspectum"
11312	"Helobdella stagnalis"	"hstagnalis"
11313	"Heloderma suspectum"	"hsuspectum"
11314	"Heliocidaris tuberculata"	"htuberculata"
11315	"Helobdella triserialis"	"htriserialis"
11316	"Helianthus tuberosus"	"htuberosus"
11317	"Heliosciurus undulatus"	"hundulatus"
11318	"Helmitheros vermivorum"	"hvermivorum"
11319	"Heliothis virescens"	"hvirescens"
11320	"Heliangelus viola"	"hviola"
11321	"Helenium virus S"	"hvirus"
11322	"Helicoverpa zea"	"hzea"
11323	"Hemitripterus americanus"	"hamericanus"
11324	"Hemiselmis andersenii"	"handersenii"
11325	"Hemimysis anomala"	"hanomala"
11326	"Hemichloris antarctica"	"hantarctica"
11327	"Hemiechinus auritus"	"hauritus"
11328	"Hemiramphus brasiliensis"	"hbrasiliensis"
11329	"Hemigalus derbyanus"	"hderbyanus"
11330	"Hemerophila diva"	"hdiva"
11331	"Hemileuca eglanterina"	"heglanterina"
11332	"Hemileuca electra"	"helectra"
11333	"Hemichaena fruticosa"	"hfruticosa"
11334	"Hemerophila felis"	"hfelis"
11335	"Hemimyzon formosanus"	"hformosanus"
11336	"Hemidactylus frenatus"	"hfrenatus"
11337	"Hemerocallis fulva"	"hfulva"
11338	"Hemachatus haemachatus"	"hhaemachatus"
11339	"Hemorrhois hippocrepis"	"hhippocrepis"
11340	"Hemitragus hylocrius"	"hhylocrius"
11341	"Hemitragus jemlahicus"	"hjemlahicus"
11342	"Hemitriakis japanica"	"hjapanica"
11343	"Hemiscorpius lepturus"	"hlepturus"
11344	"Hemerocallis lilioasphodelus"	"hlilioasphodelus"
11345	"Hemidactylus mabouia"	"hmabouia"
11346	"Hemibagrus macropterus"	"hmacropterus"
11347	"Hemimysis margalefi"	"hmargalefi"
11348	"Hemileuca maia"	"hmaia"
11349	"Hemilobophasma montaguense"	"hmontaguense"
11350	"Hemigrammus marginatus"	"hmarginatus"
11351	"Hemileuca nevadensis"	"hnevadensis"
11352	"Hemiphaga novaeseelandiae"	"hnovaeseelandiae"
11353	"Hemigrapsus nudus"	"hnudus"
11354	"Hemigrapsus oregonensis"	"horegonensis"
11355	"Hemitaurichthys polylepis"	"hpolylepis"
11356	"Hemicentrotus pulcherrimus"	"hpulcherrimus"
11357	"Hemorrhois ravergieri"	"hravergieri"
11358	"Hemiorchis rhodorrhachis"	"hrhodorrhachis"
11359	"Hemigrapsus sanguineus"	"hsanguineus"
11360	"Hemerocallis sp."	"hsp."
11361	"Hemimyzon taitungensis"	"htaitungensis"
11362	"Hemaris thysbe"	"hthysbe"
11363	"Hemignathus wilson"	"hwilson"
11364	"Hemitaurichthys zoster"	"hzoster"
11365	"Heniochus acuminatus"	"hacuminatus"
11366	"Henicophaps albifrons"	"halbifrons"
11367	"Heniochus chrysostomus"	"hchrysostomus"
11368	"Hendra virus"	"hvirus"
11369	"Henricia leviuscula"	"hleviuscula"
11370	"Hentzia mitrata"	"hmitrata"
11371	"Henrardia persica"	"hpersica"
11372	"Heniochus pleurotaenia"	"hpleurotaenia"
